PLAYER_NAME,MIN,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,USG_PCT,MINUTES_5GAME_AVG,POINTS_5GAME_AVG,REBOUNDS_5GAME_AVG,ASSISTS_5GAME_AVG,STEALS_5GAME_AVG,BLOCKS_5GAME_AVG,OPP_TEAM,COURT,BTB,TEAM_E_OFF_RATING,TEAM_E_DEF_RATING,TEAM_E_NET_RATING,TEAM_E_PACE,TEAM_AST_RANK,TEAM_STL_RANK,TEAM_BLK_RANK,TEAM_PTS_RANK,TEAM_PLUS_MINUS_RANK,OPP_E_OFF_RATING,OPP_E_DEF_RATING,OPP_E_NET_RATING,OPP_E_PACE,OPP_AST_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PTS_RANK,OPP_PLUS_MINUS_RANK
Precious Achiuwa,39,15,14,4,2,5,25.64,28.6,8.4,8.6,2.2,1.2,2.2,ORL,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,110.6,108.6,2.0,99.4,28,5,13,24,15
Precious Achiuwa,24,15,6,2,1,1,33.33,29.4,11.0,8.8,1.8,1.4,2.2,ATL,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,114.0,116.7,-2.6,102.6,16,16,26,5,21
Precious Achiuwa,22,14,4,0,2,3,40.91,29.0,13.0,8.2,1.4,1.4,2.8,CLE,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,112.8,109.9,2.9,99.5,8,19,21,20,13
Precious Achiuwa,26,3,8,1,0,2,15.38,29.4,11.0,8.2,1.4,1.4,2.8,GSW,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,114.7,112.4,2.3,101.8,4,23,23,8,12
Precious Achiuwa,40,15,7,2,0,1,30.0,30.2,12.4,7.8,1.8,1.0,2.4,NOP,Home,True,114.1,111.2,2.9,97.8,29,17,29,19,5,115.0,110.1,5.0,100.2,13,3,22,13,6
Precious Achiuwa,34,4,11,1,2,2,11.76,29.2,10.2,7.2,1.2,1.0,1.8,DET,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,107.2,116.0,-8.8,102.2,22,30,20,27,28
Precious Achiuwa,34,8,9,1,0,1,14.71,31.2,8.8,7.8,1.0,0.8,1.8,BOS,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,120.2,109.0,11.2,99.5,14,27,1,2,1
Precious Achiuwa,38,18,11,2,2,1,31.58,34.4,9.6,9.2,1.4,0.8,1.4,PHI,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.8,111.0,2.8,100.1,24,1,6,15,9
Precious Achiuwa,43,23,14,5,0,0,34.88,37.8,13.6,10.4,2.2,0.8,1.0,ORL,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,110.6,108.6,2.0,99.4,28,5,13,24,15
Precious Achiuwa,39,8,17,0,0,3,17.95,37.6,12.2,12.4,1.8,0.8,1.4,HOU,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,111.5,110.7,0.9,101.5,25,8,24,16,18
Precious Achiuwa,43,15,6,0,2,3,23.26,39.4,14.4,11.4,1.6,0.8,1.6,IND,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,117.9,115.5,2.5,104.2,1,11,8,1,9
Precious Achiuwa,41,13,16,3,0,1,21.95,40.8,15.4,12.8,2.0,0.8,1.6,DAL,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,115.2,112.6,2.6,102.4,19,24,17,7,14
Precious Achiuwa,40,17,5,3,3,1,20.0,41.2,15.2,11.6,2.2,1.0,1.6,MEM,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,104.2,111.7,-7.5,100.7,27,4,4,30,26
Precious Achiuwa,42,10,8,0,0,1,16.67,41.0,12.6,10.4,1.2,1.0,1.8,LAL,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.6,112.7,0.9,103.1,5,19,11,6,19
Precious Achiuwa,43,12,16,0,4,2,20.93,41.8,13.4,10.2,1.2,1.8,1.6,IND,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,117.9,115.5,2.5,104.2,1,11,8,1,9
Precious Achiuwa,40,18,5,1,0,2,25.0,41.2,14.0,10.0,1.4,1.4,1.4,UTA,Home,True,114.1,111.2,2.9,97.8,29,17,29,19,5,112.0,117.7,-5.8,102.2,10,29,9,11,23
Precious Achiuwa,33,9,5,0,0,1,12.12,39.6,13.2,7.8,0.8,1.4,1.4,CHA,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,107.1,117.0,-9.9,99.4,26,25,25,28,30
Precious Achiuwa,31,4,10,1,1,2,6.45,37.8,10.6,8.8,0.4,1.0,1.6,MIA,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,111.7,109.5,2.2,98.5,18,15,30,26,16
Precious Achiuwa,23,2,10,3,0,1,4.35,34.0,9.0,9.2,1.0,1.0,1.6,DEN,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,115.6,110.5,5.0,99.1,3,21,10,14,4
Precious Achiuwa,21,6,9,2,0,0,14.29,29.6,7.8,7.8,1.4,0.2,1.2,BKN,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,110.4,113.1,-2.7,99.4,20,28,12,25,22
Precious Achiuwa,25,18,11,0,0,1,48.0,26.6,7.8,9.0,1.2,0.2,1.0,TOR,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,109.8,115.8,-6.0,101.8,6,10,19,21,24
Precious Achiuwa,9,2,1,0,1,0,11.11,21.8,6.4,8.2,1.2,0.4,0.8,WAS,Home,True,114.1,111.2,2.9,97.8,29,17,29,19,5,108.3,116.8,-8.5,104.9,9,14,14,17,29
Precious Achiuwa,6,0,4,0,0,1,0.0,16.8,5.6,7.0,1.0,0.2,0.6,HOU,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,111.5,110.7,0.9,101.5,25,8,24,16,18
Precious Achiuwa,20,6,5,1,0,1,25.0,16.2,6.4,6.0,0.6,0.2,0.6,ORL,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,110.6,108.6,2.0,99.4,28,5,13,24,15
Precious Achiuwa,6,0,1,0,0,1,16.67,13.2,5.2,4.4,0.2,0.2,0.8,MEM,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,104.2,111.7,-7.5,100.7,27,4,4,30,26
Precious Achiuwa,16,7,6,0,1,0,37.5,11.4,3.0,3.4,0.2,0.4,0.6,DAL,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,115.2,112.6,2.6,102.4,19,24,17,7,14
Precious Achiuwa,20,2,9,1,1,1,10.0,13.6,3.0,5.0,0.4,0.4,0.8,POR,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,105.0,114.5,-9.5,100.0,30,12,27,29,27
Precious Achiuwa,8,2,0,0,0,0,12.5,14.0,3.4,4.2,0.4,0.4,0.6,WAS,Away,True,114.1,111.2,2.9,97.8,29,17,29,19,5,108.3,116.8,-8.5,104.9,9,14,14,17,29
Precious Achiuwa,13,5,3,0,0,1,23.08,12.6,3.2,3.8,0.2,0.4,0.6,PHI,Away,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.8,111.0,2.8,100.1,24,1,6,15,9
Precious Achiuwa,11,4,3,1,0,1,18.18,13.6,4.0,4.2,0.4,0.4,0.6,CHI,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,112.4,113.2,-0.8,98.6,23,9,18,22,20
Precious Achiuwa,9,0,3,0,0,0,0.0,12.2,2.6,3.6,0.4,0.2,0.6,MIN,Home,False,114.1,111.2,2.9,97.8,29,17,29,19,5,113.1,106.2,6.9,99.5,15,6,5,18,3
Precious Achiuwa,2,0,2,0,0,0,0.0,8.6,2.2,2.2,0.2,0.0,0.4,BOS,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,120.2,109.0,11.2,99.5,14,27,1,2,1
Precious Achiuwa,11,3,1,0,1,1,27.27,9.2,2.4,2.4,0.2,0.2,0.6,WAS,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,108.3,116.8,-8.5,104.9,9,14,14,17,29
Precious Achiuwa,21,8,2,1,0,2,23.81,10.8,3.0,2.2,0.4,0.2,0.8,UTA,Home,True,109.8,115.8,-6.0,101.8,6,10,19,21,24,112.0,117.7,-5.8,102.2,10,29,9,11,23
Precious Achiuwa,16,4,6,1,2,0,18.75,11.8,3.0,2.8,0.4,0.6,0.6,PHI,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,113.8,111.0,2.8,100.1,24,1,6,15,9
Precious Achiuwa,25,13,5,1,1,1,28.0,15.0,5.6,3.2,0.6,0.8,0.8,DEN,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,115.6,110.5,5.0,99.1,3,21,10,14,4
Precious Achiuwa,18,12,7,1,1,0,38.89,18.2,8.0,4.2,0.8,1.0,0.8,CHA,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,107.1,117.0,-9.9,99.4,26,25,25,28,30
Precious Achiuwa,17,9,2,5,0,0,29.41,19.4,9.2,4.4,1.8,0.8,0.6,ATL,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,114.0,116.7,-2.6,102.6,16,16,26,5,21
Precious Achiuwa,17,7,7,1,1,2,35.29,18.6,9.0,5.4,1.8,1.0,0.6,ATL,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,114.0,116.7,-2.6,102.6,16,16,26,5,21
Precious Achiuwa,21,9,5,3,1,0,28.57,19.6,10.0,5.2,2.2,0.8,0.6,NYK,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,114.1,111.2,2.9,97.8,29,17,29,19,5
Precious Achiuwa,22,17,10,1,0,0,50.0,19.0,10.8,6.2,2.2,0.6,0.4,CHA,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,107.1,117.0,-9.9,99.4,26,25,25,28,30
Precious Achiuwa,13,9,3,2,1,0,38.46,18.0,10.2,5.4,2.4,0.6,0.4,MIA,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,111.7,109.5,2.2,98.5,18,15,30,26,16
Precious Achiuwa,17,8,6,1,0,0,29.41,18.0,10.0,6.2,1.6,0.6,0.4,NYK,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,114.1,111.2,2.9,97.8,29,17,29,19,5
Precious Achiuwa,18,14,10,1,2,0,50.0,18.2,11.4,6.8,1.6,0.8,0.0,PHX,Home,True,109.8,115.8,-6.0,101.8,6,10,19,21,24,114.9,111.5,3.4,100.8,12,18,6,10,8
Precious Achiuwa,10,1,3,1,1,0,20.0,16.0,9.8,6.4,1.2,0.8,0.0,BKN,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,110.4,113.1,-2.7,99.4,20,28,12,25,22
Precious Achiuwa,13,4,2,1,1,0,15.38,14.2,7.2,4.8,1.2,1.0,0.0,CLE,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,112.8,109.9,2.9,99.5,8,19,21,20,13
Precious Achiuwa,18,8,7,4,0,3,38.89,15.2,7.0,5.6,1.6,0.8,0.6,CHI,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,112.4,113.2,-0.8,98.6,23,9,18,22,20
Precious Achiuwa,15,5,6,4,1,0,40.0,14.8,6.4,5.6,2.2,1.0,0.6,ORL,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,110.6,108.6,2.0,99.4,28,5,13,24,15
Precious Achiuwa,19,12,6,5,0,0,26.32,15.0,6.0,4.8,3.0,0.6,0.6,DET,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,107.2,116.0,-8.8,102.2,22,30,20,27,28
Precious Achiuwa,24,5,9,1,2,0,16.67,17.8,6.8,6.0,3.0,0.8,0.6,BOS,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,120.2,109.0,11.2,99.5,14,27,1,2,1
Precious Achiuwa,17,11,4,0,0,2,41.18,18.6,8.2,6.4,2.8,0.6,1.0,MIL,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,116.0,112.8,3.2,102.2,17,26,15,4,11
Precious Achiuwa,19,10,4,1,1,0,36.84,18.8,8.6,5.8,2.2,0.8,0.4,WAS,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,108.3,116.8,-8.5,104.9,9,14,14,17,29
Precious Achiuwa,19,2,5,5,0,0,5.26,19.6,8.0,5.6,2.4,0.6,0.4,BOS,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,120.2,109.0,11.2,99.5,14,27,1,2,1
Precious Achiuwa,18,6,7,3,0,1,22.22,19.4,6.8,5.8,2.0,0.6,0.6,PHI,Home,True,109.8,115.8,-6.0,101.8,6,10,19,21,24,113.8,111.0,2.8,100.1,24,1,6,15,9
Precious Achiuwa,23,8,9,1,0,0,34.78,19.2,7.4,5.8,2.0,0.2,0.6,CHI,Away,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,112.4,113.2,-0.8,98.6,23,9,18,22,20
Precious Achiuwa,24,8,8,0,0,0,25.0,20.6,6.8,6.6,2.0,0.2,0.2,MIN,Home,False,109.8,115.8,-6.0,101.8,6,10,19,21,24,113.1,106.2,6.9,99.5,15,6,5,18,3
